image_path,mask_path,id,liveliness,attack_class,location,split,synthetic,seg_mask_weight
AJ_Cook/AJ_Cook_0001.jpg,labels/AJ_Cook/AJ_Cook_0001.jpg,0,live,None,Unknown,train,real,0.1
AJ_Lamas/AJ_Lamas_0001.jpg,labels/AJ_Lamas/AJ_Lamas_0001.jpg,1,live,None,Unknown,train,real,0.1
Aaron_Eckhart/Aaron_Eckhart_0001.jpg,labels/Aaron_Eckhart/Aaron_Eckhart_0001.jpg,2,live,None,Unknown,train,real,0.1
Aaron_Guiel/Aaron_Guiel_0001.jpg,labels/Aaron_Guiel/Aaron_Guiel_0001.jpg,3,live,None,Unknown,train,real,0.1
Aaron_Patterson/Aaron_Patterson_0001.jpg,labels/Aaron_Patterson/Aaron_Patterson_0001.jpg,4,live,None,Unknown,train,real,0.1
Aaron_Peirsol/Aaron_Peirsol_0002.jpg,labels/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,5,live,None,Unknown,train,real,0.1
Aaron_Peirsol/Aaron_Peirsol_0001.jpg,labels/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,5,live,None,Unknown,train,real,0.1
Aaron_Peirsol/Aaron_Peirsol_0004.jpg,labels/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,5,live,None,Unknown,train,real,0.1
Aaron_Peirsol/Aaron_Peirsol_0003.jpg,labels/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,5,live,None,Unknown,train,real,0.1
Aaron_Pena/Aaron_Pena_0001.jpg,labels/Aaron_Pena/Aaron_Pena_0001.jpg,6,live,None,Unknown,train,real,0.1
Aaron_Sorkin/Aaron_Sorkin_0001.jpg,labels/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,7,live,None,Unknown,train,real,0.1
Aaron_Sorkin/Aaron_Sorkin_0002.jpg,labels/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,7,live,None,Unknown,train,real,0.1
